#time	sec	step	log_time	priority	tag	pid	log
33984	1	26	2022-01-13 12:23:25.884000	I	auditd	12575	type=1400 audit(0.0:3505): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
34007	2	26	2022-01-13 12:23:25.907000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
34755	1	27	2022-01-13 12:23:26.655000	I	sysui_multi_action	1118	[757,1093,758,4,793,9003,1094,738721792,1095,4]
34984	1	27	2022-01-13 12:23:26.884000	I	auditd	12648	type=1400 audit(0.0:3507): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
35878	1	28	2022-01-13 12:23:27.778000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
36032	1	28	2022-01-13 12:23:27.932000	I	auditd	12712	type=1400 audit(0.0:3509): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
36759	1	28	2022-01-13 12:23:28.659000	I	sysui_multi_action	1118	[757,1093,758,4,793,2004,1094,738721792,1095,4]
37025	1	29	2022-01-13 12:23:28.925000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
37056	1	29	2022-01-13 12:23:28.956000	I	auditd	12775	type=1400 audit(0.0:3511): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
37868	1	30	2022-01-13 12:23:29.768000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
38104	1	30	2022-01-13 12:23:30.004000	I	auditd	12851	type=1400 audit(0.0:3513): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
38763	1	30	2022-01-13 12:23:30.663000	I	sysui_multi_action	1118	[757,1093,758,4,793,2004,1094,738721792,1095,4]
39184	1	31	2022-01-13 12:23:31.084000	I	auditd	12901	type=1400 audit(0.0:3515): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
39734	1	31	2022-01-13 12:23:31.634000	I	am_kill	977	[0,10114,com.zhiliaoapp.musically,906,152844k from cached]
39755	1	31	2022-01-13 12:23:31.655000	I	am_proc_died	977	[0,10114,com.zhiliaoapp.musically,906,17]
39756	2	31	2022-01-13 12:23:31.656000	I	am_schedule_service_restart	977	[0,com.zhiliaoapp.musically/com.bytedance.common.wschannel.client.WsClientService,1000]
