#time	step	type	freed	heap_used	heap_size	percent	paused	total_time
625761	499	Explicit concurrent copying	144	2048	4096	 49	0.125	61.115
626414	499	Explicit concurrent copying	159	2048	4096	 50	0.063	36.564
626744	500	Explicit concurrent copying	144	2048	4096	 49	0.057	30.137
627427	500	Explicit concurrent copying	144	2048	4096	 49	0.066	31.516
628181	501	Explicit concurrent copying	175	2048	4096	 50	0.087	47.582
629587	502	Explicit concurrent copying	160	2048	4096	 50	0.065	34.192
631115	504	Explicit concurrent copying	144	2048	4096	 50	0.079	37.483
638111	511	Explicit concurrent copying	160	2048	4096	 50	0.108	64.179
638578	511	Explicit concurrent copying	175	2048	4096	 49	0.062	33.224
638877	511	Explicit concurrent copying	144	2048	4096	 50	0.072	28.675
639081	512	Explicit concurrent copying	144	2048	4096	 50	0.053	28.149
639379	512	Explicit concurrent copying	144	2048	4096	 50	0.079	49.956
639987	513	Explicit concurrent copying	159	2048	4096	 49	0.092	46.570
640240	513	Explicit concurrent copying	144	2048	4096	 50	0.055	27.819
640505	513	Explicit concurrent copying	160	2048	4096	 50	0.11	59.818
641055	513	Explicit concurrent copying	159	2048	4096	 49	0.067	28.537
641339	514	Explicit concurrent copying	144	2048	4096	 50	0.061	27.729
641685	514	Explicit concurrent copying	176	2048	4096	 49	0.196	51.434
641981	514	Explicit concurrent copying	175	2048	4096	 49	0.076	42.683
642528	515	Explicit concurrent copying	144	2048	4096	 50	0.066	32.082
644610	517	Explicit concurrent copying	144	2048	4096	 50	0.056	30.172
645768	518	Explicit concurrent copying	159	2048	4096	 49	0.055	30.064
646442	519	Explicit concurrent copying	160	2048	4096	 50	0.088	34.473
647511	520	Explicit concurrent copying	144	2048	4096	 50	0.062	35.501
648150	520	Explicit concurrent copying	159	2048	4096	 49	0.083	39.059
648685	521	Explicit concurrent copying	144	2048	4096	 50	0.055	28.665
649170	521	Explicit concurrent copying	144	2048	4096	 50	0.073	33.682
